Wed Mar 23 2022 12:01:45 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:01:48 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:01:55 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:02:02 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:02:05 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:02:09 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:02:12 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:02:25 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:02:29 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:02:39 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:02:40 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:02:45 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:02:48 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:04:16 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:04:47 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:04:49 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:04:50 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:06:13 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:06:28 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:07:19 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:07:29 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:07:41 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:07:45 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:07:48 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:07:52 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:07:54 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:09:04 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:09:08 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:09:29 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 12:11:22 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:43:34 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:43:42 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:47:46 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:47:57 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:48:51 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:48:53 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:49:07 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:49:10 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:49:15 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:49:18 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:49:20 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:50:53 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:50:55 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:51:54 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:52:04 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:52:07 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:52:08 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:52:33 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:52:37 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:53:09 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:53:13 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:53:46 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:53:48 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:53:58 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:54:05 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:56:04 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:56:23 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:56:50 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:57:09 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:57:28 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:57:48 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:57:53 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
Wed Mar 23 2022 13:58:34 GMT+0800 (China Standard Time) | INFO | category-api.log | API: /getAllCategory | data:{"message":"API Done","total":71,"status":true} | 
